"Aᵢ","Gᵢ","Normalised ΔA"
0.1,0.0,0.90
0.2,0.0,0.81
0.3,0.0,0.72
0.4,0.0,0.64
0.5,0.0,0.56
0.6,0.0,0.49
0.7,0.0,0.42
0.8,0.0,0.36
0.9,0.0,0.30
1.0,0.0,0.25
0.1,0.1,0.92
0.2,0.1,0.84
0.3,0.1,0.77
0.4,0.1,0.70
0.5,0.1,0.64
0.6,0.1,0.57
0.7,0.1,0.51
0.8,0.1,0.46
0.9,0.1,0.40
1.0,0.1,0.35
0.1,0.2,0.94
0.2,0.2,0.88
0.3,0.2,0.82
0.4,0.2,0.76
0.5,0.2,0.71
0.6,0.2,0.65
0.7,0.2,0.60
0.8,0.2,0.55
0.9,0.2,0.51
1.0,0.2,0.46
0.1,0.3,0.95
0.2,0.3,0.90
0.3,0.3,0.86
0.4,0.3,0.81
0.5,0.3,0.77
0.6,0.3,0.73
0.7,0.3,0.69
0.8,0.3,0.65
0.9,0.3,0.61
1.0,0.3,0.57
0.1,0.4,0.96
0.2,0.4,0.93
0.3,0.4,0.89
0.4,0.4,0.86
0.5,0.4,0.83
0.6,0.4,0.80
0.7,0.4,0.76
0.8,0.4,0.73
0.9,0.4,0.70
1.0,0.4,0.67
0.1,0.5,0.98
0.2,0.5,0.95
0.3,0.5,0.93
0.4,0.5,0.90
0.5,0.5,0.88
0.6,0.5,0.86
0.7,0.5,0.83
0.8,0.5,0.81
0.9,0.5,0.79
1.0,0.5,0.77
0.1,0.6,0.98
0.2,0.6,0.97
0.3,0.6,0.95
0.4,0.6,0.94
0.5,0.6,0.92
0.6,0.6,0.91
0.7,0.6,0.89
0.8,0.6,0.88
0.9,0.6,0.86
1.0,0.6,0.85
0.1,0.7,0.99
0.2,0.7,0.98
0.3,0.7,0.97
0.4,0.7,0.96
0.5,0.7,0.96
0.6,0.7,0.95
0.7,0.7,0.94
0.8,0.7,0.93
0.9,0.7,0.92
1.0,0.7,0.91
0.1,0.8,1.00
0.2,0.8,0.99
0.3,0.8,0.99
0.4,0.8,0.98
0.5,0.8,0.98
0.6,0.8,0.98
0.7,0.8,0.97
0.8,0.8,0.97
0.9,0.8,0.96
1.0,0.8,0.96
0.1,0.9,1.00
0.2,0.9,1.00
0.3,0.9,1.00
0.4,0.9,1.00
0.5,0.9,1.00
0.6,0.9,0.99
0.7,0.9,0.99
0.8,0.9,0.99
0.9,0.9,0.99
1.0,0.9,0.99
0.1,1.0,1.00
0.2,1.0,1.00
0.3,1.0,1.00
0.4,1.0,1.00
0.5,1.0,1.00
0.6,1.0,1.00
0.7,1.0,1.00
0.8,1.0,1.00
0.9,1.0,1.00
1.0,1.0,1.00
